Unnamed: 0,영업팀,영업그룹,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,"키친핏 1Door 18""",,,75516709.058,75516709.058,76944635.9,76944635.89999999,75516709.058
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,4Door,,,,,0.0,0.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,4Door,7시리즈,,,,2486880.0,2486880.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,4Door,7시리즈,AI 하이브리드,,,33108264.200000003,33108264.200000003,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,4Door,7시리즈,벤딩도어,114409331.89,114409331.89,574383300.7,574383300.6999996,114409331.88999999
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,TMF,,,3921542.328,3921542.328,113805962.6,113805962.60000001,3921542.328
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,BMF,,,29672647.939,29672647.939,40366072.99999999,40366073.000000015,29672647.939
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,키친핏 1Door,,,153473899.445,153473899.445,324487033.1999999,324487033.19999987,153473899.44499996
,이커머스,SOP,냉장고,26Y02M,26Y05WB,수량,TMF,,,,,-1.0,-1.0,
,이커머스,SOP,냉장고,26Y02M,26Y05WB,금액,TMF,,,,,-764727.7,-764727.7,
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,,,,112.0,112.0,138.0,138.0,112.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,키친핏 4Door,7시리즈,,329.0,329.0,344.0,344.0,329.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,키친핏 4Door,7시리즈,AI 하이브리드,34.0,34.0,28.0,28.0,34.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,키친핏 SBS,7시리즈,,,,12.0,12.0,
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,키친핏 SBS,8시리즈,,,,5.0,5.0,
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,"키친핏 1Door 18""",,,31.0,31.0,44.0,44.0,31.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,4Door,7시리즈,AI 하이브리드,4.0,4.0,8.0,8.0,4.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,4Door,7시리즈,벤딩도어,530.0,530.0,374.0,374.0,530.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,TMF,,,384.0,384.0,258.0,258.0,384.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,BMF,,,123.0,123.0,57.0,57.0,123.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,수량,키친핏 1Door,,,490.0,490.0,393.0,393.0,490.0
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,,,,92132338.96000001,92132338.96000001,182475685.69999996,182475685.70000005,92132338.96000001
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,키친핏 4Door,,,,,572000.0,572000.0,
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,키친핏 4Door,7시리즈,,518366928.19500005,518366928.19500005,876175726.8,876175726.7999998,518366928.1950001
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,키친핏 4Door,7시리즈,AI 하이브리드,65569536.962000005,65569536.962000005,81703255.7,81703255.69999999,65569536.962
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,키친핏 SBS,7시리즈,,,,18902413.2,18902413.2,
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,키친핏 SBS,8시리즈,,,,8969055.7,8969055.7,
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,"키친핏 1Door 18""",,,21076246.243,21076246.243,52915229.400000006,52915229.4,21076246.243
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,4Door,,,,,220000.0,220000.0,
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,4Door,7시리즈,AI 하이브리드,5205834.904,5205834.904,20374316.599999998,20374316.599999998,5205834.904
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,4Door,7시리즈,벤딩도어,680415165.7789999,680415165.7789999,845144932.5,845144932.4999998,680415165.779
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,TMF,,,-2473146.4549999963,-2473146.4549999963,156506549.1,156506549.1000001,-2473146.454999998
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,BMF,,,-56168230.47400002,-56168230.47400002,53595955.599999994,53595955.60000001,-56168230.474
,이커머스,SOP,냉장고,26Y02M,26Y06W,금액,키친핏 1Door,,,433352145.742,433352145.742,560335854.1,560335854.1,433352145.74200004
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,,,,289.0,289.0,136.0,136.0,289.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,키친핏 4Door,7시리즈,,258.0,258.0,248.0,248.0,258.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,키친핏 4Door,7시리즈,AI 하이브리드,16.0,16.0,26.0,26.0,16.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,키친핏 SBS,7시리즈,,,,10.0,10.0,
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,키친핏 SBS,8시리즈,,20.0,20.0,11.0,11.0,20.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,"키친핏 1Door 18""",,,45.0,45.0,27.0,27.0,45.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,4Door,7시리즈,AI 하이브리드,6.0,6.0,13.0,13.0,6.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,4Door,7시리즈,벤딩도어,249.0,249.0,288.0,288.0,249.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,TMF,,,247.0,247.0,222.0,222.0,247.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,BMF,,,23.0,23.0,50.0,50.0,23.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,수량,키친핏 1Door,,,386.0,386.0,320.0,320.0,386.0
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,,,,214966186.893,214966186.893,162202845.2,162202845.19999996,214966186.89299998
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,키친핏 4Door,,,,,176000.0,176000.0,
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,키친핏 4Door,7시리즈,,407853842.21299994,407853842.21299994,628760227.7,628760227.6999998,407853842.21300006
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,키친핏 4Door,7시리즈,AI 하이브리드,31350504.78,31350504.78,76162106.9,76162106.90000002,31350504.779999997
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,키친핏 SBS,7시리즈,,,,15752001.100000001,15752001.100000001,
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,키친핏 SBS,8시리즈,,21953373.719,21953373.719,19596667.2,19596667.2,21953373.719
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,"키친핏 1Door 18""",,,30380813.552999996,30380813.552999996,31487085.3,31487085.299999997,30380813.553
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,4Door,7시리즈,AI 하이브리드,7808752.357,7808752.357,33079131.800000004,33079131.800000004,7808752.357
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,4Door,7시리즈,벤딩도어,318263945.705,318263945.705,641700426.4,641700426.3999997,318263945.70500004
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,TMF,,,-18037123.408,-18037123.408,131710824.3,131710824.30000003,-18037123.408000004
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,BMF,,,-63116216.70900001,-63116216.70900001,41817301.900000006,41817301.9,-63116216.70900001
,이커머스,SOP,냉장고,26Y02M,26Y07W,금액,키친핏 1Door,,,319421136.896,319421136.896,454088382.00000006,454088382.0,319421136.8960001
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,,,,,,95.0,95.0,
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,키친핏 4Door,7시리즈,,96.0,96.0,119.0,119.0,96.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,키친핏 4Door,7시리즈,AI 하이브리드,1.0,1.0,8.0,8.0,1.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,키친핏 SBS,7시리즈,,,,11.0,11.0,
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,키친핏 SBS,8시리즈,,,,-1.0,-1.0,
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,"키친핏 1Door 18""",,,71.0,71.0,50.0,50.0,71.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,4Door,7시리즈,벤딩도어,63.0,63.0,85.0,85.0,63.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,TMF,,,41.0,41.0,180.0,180.0,41.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,BMF,,,6.0,6.0,29.0,29.0,6.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,수량,키친핏 1Door,,,235.0,235.0,199.0,199.0,235.0
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,,,,,,113217018.20000002,113217018.2,
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,키친핏 4Door,,,,,132000.0,132000.0,
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,키친핏 4Door,7시리즈,,153487075.567,153487075.567,301451847.4,301451847.40000004,153487075.56699997
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,키친핏 4Door,7시리즈,AI 하이브리드,2056249.089,2056249.089,23621737.7,23621737.7,2056249.089
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,키친핏 SBS,7시리즈,,,,17327203.3,17327203.3,
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,키친핏 SBS,8시리즈,,,,-1793810.7,-1793810.7,
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,"키친핏 1Door 18""",,,51041816.953999996,51041816.953999996,57397967.0,57397967.0,51041816.953999996
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,4Door,,,,,88000.0,88000.0,
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,4Door,7시리즈,벤딩도어,76466941.011,76466941.011,202522805.10000002,202522805.10000002,76466941.011
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,TMF,,,6338822.335,6338822.335,113806047.30000003,113806047.30000003,6338822.335
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,BMF,,,2822605.627,2822605.627,25608907.5,25608907.5,2822605.627
,이커머스,SOP,냉장고,26Y02M,26Y08W,금액,키친핏 1Door,,,201086228.19,201086228.19,273311326.2,273311326.2,201086228.18999997
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,,,,90.0,90.0,91.0,91.0,90.0
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,키친핏 4Door,7시리즈,,123.0,123.0,139.0,139.0,123.0
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,키친핏 4Door,7시리즈,AI 하이브리드,7.0,7.0,12.0,12.0,7.0
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,키친핏 SBS,7시리즈,,,,17.0,17.0,
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,키친핏 SBS,8시리즈,,8.0,8.0,5.0,5.0,8.0
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,"키친핏 1Door 18""",,,,,21.0,21.0,
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,4Door,7시리즈,,,,16.0,16.0,
,이커머스,SOP,냉장고,26Y02M,26Y09WA,수량,4Door,7시리즈,AI 하이브리드,,,11.0,11.0,
