Unnamed: 0,영업팀,영업그룹,파트,대표거래선,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,수량,21-20kg,,,211.0,211.0,383.0,383.0,211.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,수량,19-18kg,,,9.0,9.0,43.0,43.0,9.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,수량,15kg↓,,,,,20.0,20.0,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,,,,4624606.724,4624606.724,14929843.5,14929843.5,4624606.724
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,25kg,,,26104971.371,26104971.371,146462353.4,146462353.40000004,26104971.371
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,25kg,9시리즈,,,,17560411.0,17560411.0,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,25kg,8시리즈,,87095518.849,87095518.849,107857510.19999999,107857510.19999999,87095518.849
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,24kg,,,,,1130054.2,1130054.2,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,21-20kg,,,137122533.327,137122533.327,424317279.1,424317279.0999999,137122533.327
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,19-18kg,,,4485570.8319999995,4485570.8319999995,29892672.7,29892672.7,4485570.8319999995
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y04W,금액,15kg↓,,,,,15283224.0,15283224.0,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,,,,27.0,27.0,25.0,25.0,27.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,25kg,,,50.0,50.0,188.0,188.0,50.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,25kg,9시리즈,,14.0,14.0,5.0,5.0,14.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,25kg,8시리즈,,18.0,18.0,36.0,36.0,18.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,24kg,,,,,2.0,2.0,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,21-20kg,,,381.0,381.0,262.0,262.0,381.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,19-18kg,,,40.0,40.0,49.0,49.0,40.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,수량,15kg↓,,,43.0,43.0,29.0,29.0,43.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,,,,8918884.396,8918884.396,9570412.5,9570412.5,8918884.396
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,25kg,,,48905791.032000005,48905791.032000005,233962350.6,233962350.60000002,48905791.032000005
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,25kg,9시리즈,,38251641.496,38251641.496,17560411.0,17560411.0,38251641.496
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,25kg,8시리즈,,40197930.957,40197930.957,99560792.1,99560792.1,40197930.957
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,24kg,,,,,2260109.5,2260109.5,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,21-20kg,,,249585417.61199996,249585417.61199996,290964290.1,290964290.1,249585417.61200002
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,19-18kg,,,20765163.038,20765163.038,33892173.699999996,33892173.699999996,20765163.038
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y05WA,금액,15kg↓,,,28298105.921000004,28298105.921000004,22160674.800000004,22160674.799999997,28298105.921000004
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,,,,4.0,4.0,42.0,42.0,4.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,25kg,,,127.0,127.0,214.0,214.0,127.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,25kg,9시리즈,,6.0,6.0,9.0,9.0,6.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,25kg,8시리즈,,38.0,38.0,66.0,66.0,38.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,24kg,,,,,-1.0,-1.0,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,21-20kg,,,352.0,352.0,256.0,256.0,352.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,19-18kg,,,33.0,33.0,74.0,74.0,33.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,수량,15kg↓,,,15.0,15.0,26.0,26.0,15.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,,,,1000822.233,1000822.233,16078293.0,16078293.0,1000822.233
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,25kg,,,95515224.94100001,95515224.94100001,265232357.5,265232357.5000001,95515224.94100001
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,25kg,9시리즈,,11602895.976,11602895.976,31608739.800000004,31608739.8,11602895.976
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,25kg,8시리즈,,61625056.177,61625056.177,182528095.20000002,182528095.20000005,61625056.177
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,24kg,,,,,-1130054.2,-1130054.2,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,21-20kg,,,200141246.382,200141246.382,268675645.7,268675645.7,200141246.382
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,19-18kg,,,12300736.653,12300736.653,51215469.800000004,51215469.800000004,12300736.653
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y06W,금액,15kg↓,,,7491370.613,7491370.613,19868191.2,19868191.2,7491370.613
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,,,,41.0,41.0,31.0,31.0,41.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,25kg,,,221.0,221.0,202.0,202.0,221.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,25kg,9시리즈,,15.0,15.0,1.0,1.0,15.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,25kg,8시리즈,,75.0,75.0,45.0,45.0,75.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,21-20kg,,,466.0,466.0,324.0,324.0,466.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,19-18kg,,,67.0,67.0,50.0,50.0,67.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,수량,15kg↓,,,1.0,1.0,18.0,18.0,1.0
